state_province,especie
Asturias,Chroicocephalus ridibundus
Murcia,Saxicola rubicola
Murcia,Corvus corone
Barcelona,Passer hispaniolensis
Lleida,Gyps fulvus
Alacant/Alicante,Sylvia melanocephala
Alacant/Alicante,Parus major
Asturias,Garrulus glandarius
Santa Cruz de Tenerife,Streptopelia decaocto
Barcelona,Alcedo atthis
Ciudad Real,Passer montanus
Valncia/Valencia,Tringa ochropus
Murcia,Fringilla coelebs
Girona,Vanellus vanellus
Murcia,Anthus pratensis
Tarragona,Lophophanes cristatus
Valncia/Valencia,Saxicola rubicola
Murcia,Phoenicurus ochruros
Ciudad Real,Anser anser
Segovia,Lullula arborea
Girona,Passer montanus
Alacant/Alicante,Phylloscopus collybita
Bizkaia,Ciconia ciconia
Len,Circus pygargus
Ciudad Real,Columba oenas
Zaragoza,Chroicocephalus ridibundus
Lleida,Fringilla coelebs
Girona,Cettia cetti
Tarragona,Passer montanus
Len,Apus apus
Zaragoza,Sturnus
Len,Cyanistes caeruleus
Zamora,Phalacrocorax carbo
Zamora,Milvus migrans
Murcia,Tringa ochropus
Madrid,Egretta garzetta
Ciudad Real,Garrulus glandarius
Lleida,Motacilla alba
Santa Cruz de Tenerife,Numenius phaeopus
Tarragona,Ptyonoprogne rupestris
Palencia,Motacilla cinerea
Murcia,Gallinula chloropus
Murcia,Falco tinnunculus
Araba/lava,Garrulus glandarius
Albacete,Columba livia
Huelva,Larus michahellis
Zaragoza,Motacilla alba
Barcelona,Dendrocopos major
Madrid,Upupa epops
Valncia/Valencia,Fringilla coelebs
Valncia/Valencia,Phylloscopus trochilus
Murcia,Aythya ferina
Murcia,Calidris ferruginea
Segovia,Carduelis carduelis
Illes Balears,Streptopelia turtur
Huelva,Motacilla alba
Valncia/Valencia,Egretta garzetta
Lleida,Streptopelia decaocto
Alacant/Alicante,Apus apus
Girona,Merops apiaster
A Corua,Upupa epops
Araba/lava,Buteo buteo
Lleida,Charadrius dubius
Araba/lava,Pica pica
Ciudad Real,Galerida cristata
Zamora,Muscicapa striata
Santa Cruz de Tenerife,Apus apus
Albacete,Pica pica
Segovia,Gyps fulvus
Valncia/Valencia,Otus scops
Ciudad Real,Anas clypeata
Girona,Jynx torquilla
Asturias,Phylloscopus collybita
Asturias,Larus michahellis
Huelva,Columba palumbus
Murcia,Cecropis daurica
Alacant/Alicante,Pyrrhocorax pyrrhocorax
Lleida,Anthus pratensis
Valncia/Valencia,Alcedo atthis
Huelva,Passer domesticus
Palencia,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
      ... 
243    NaN
244    NaN
245    NaN
246    NaN
247    NaN
Name: nombre, Length: 248, dtype: object"
Madrid,Turdus philomelos
Len,Sturnus unicolor
Bizkaia,Milvus migrans
Pontevedra,Anas platyrhynchos
Huelva,Pica pica
A Corua,Accipiter gentilis
Girona,Gallinula angulata
Ciudad Real,Periparus ater
Murcia,Larus michahellis
Valncia/Valencia,Erithacus rubecula
Zamora,Gallinula chloropus
Albacete,Tringa ochropus
Palencia,Upupa epops
Santa Cruz de Tenerife,Larus michahellis
Murcia,Buteo buteo
Len,Phylloscopus collybita
Madrid,Hirundo rustica
Palencia,Cyanistes caeruleus
Illes Balears,Charadrius alexandrinus
Alacant/Alicante,Circus aeruginosus
Murcia,Actitis hypoleucos
